,الصناعة بالعربي,الصناعة بالإنجليزي,الأقسام المتخصصة بالعربي,Specialized Departments (English)
1,مصانع الأغذية,Food Manufacturing,الجودة – المختبر – تطوير المنتجات – التعبئة – التشغيل,"Quality, Lab, Product Development, Packaging, Operations"
2,مصانع المياه,Water Bottling,التحلية – المختبر – مراقبة المياه – الإنتاج – HSE,"RO Plant, Lab, Water Control, Production, HSE"
3,البتروكيماويات,Petrochemicals,هندسة العمليات – الوحدات – مختبرات الكيمياء – السلامة – التشغيل,"Process Engineering, Units, Chemical Labs, Safety, Operations"
4,الأدوية,Pharmaceuticals,R&D – مختبرات – ضبط جودة GMP – Regulatory – خطوط إنتاج,"R&D, Labs, GMP Quality, Regulatory Affairs, Production Lines"
5,النسيج,Textile,الصباغة – النسيج – التفصيل – الطباعة – مراقبة الجودة,"Dyeing, Weaving, Stitching, Printing, Quality Control"
6,الأخشاب والأثاث,Wood/Furniture,النجارة – التقطيع – التجميع – التشطيب – الطلاء,"Carpentry, Cutting, Assembly, Finishing, Painting"
7,المستشفيات,Hospitals,الطوارئ – التنويم – التمريض – المختبر – الأشعة – الصيدلية,"ER, Inpatient, Nursing, Lab, Radiology, Pharmacy"
8,العيادات الطبية,Clinics,طبي عام – تخصصات – مختبر – أشعة – صيدلية صغيرة,"General Practice, Specialties, Lab, Radiology, Mini Pharmacy"
9,الهندسة المعمارية,Architecture Firms,التصميم – الموديلينج – دراسات – إدارة مشاريع,"Design, Modeling, Studies, Project Management"
10,المكاتب الهندسية,Engineering Offices,الإنشائي – الميكانيكي – الكهربائي – العقود – الإشراف,"Structural, Mechanical, Electrical, Contracts, Supervision"
11,شركات الإنشاءات,Construction Companies,مواقع التنفيذ – المعدات – المشتريات الإنشائية – التحكم بالمشروع,"Site Work, Machinery, Construction Procurement, PMO"
12,شركات اللوجستيات,Logistics,الأسطول – التخطيط – المستودعات – الشحن – التوزيع,"Fleet, Planning, Warehousing, Shipping, Distribution"
13,شركات الشحن الدولي,Freight Forwarding,التخليص – المناولة – الشحن البحري – الشحن الجوي,"Customs, Handling, Sea Freight, Air Freight"
14,المطاعم,Restaurants,المطبخ – استلام المواد – التحضير – خدمة العملاء – التوصيل,"Kitchen, Receiving, Prep, Customer Service, Delivery"
15,السوبرماركت,Supermarkets,إدارة الأرفف – استلام بضائع – مراقبة المخزون – محاسبة الكاشير,"Shelf Management, Receiving, Stock Control, Cashiers"
16,المصانع الكهربائية,Electrical Manufacturing,التجميع – الاختبارات – ضمان الجودة – الهندسة الكهربائية,"Assembly, Testing, QC, Electrical Engineering"
17,صناعة السيارات,Automotive Manufacturing,التجميع – الاختبارات – الطلاء – الروبوتات – الصيانة,"Assembly, Testing, Painting, Robotics, Maintenance"
18,شركات التقنية,Tech Companies,التطوير – DevOps – Quality Assurance – الأمن – الدعم الفني,"Development, DevOps, QA, Cybersecurity, Support"
19,الشركات المالية,Financial Services,إدارة مخاطر – تدقيق – امتثال – استثمار – خزينة,"Risk, Audit, Compliance, Investment, Treasury"
20,الفنادق,Hotels,الاستقبال – الغرف – التدبير – الأمن – الفعاليات – المطبخ,"Reception, Housekeeping, Security, Events, Kitchen"
21,مزارع المحاصيل الحقلية,Field Crop Farms,ري؛ زراعة؛ حصاد؛ تسميد,Irrigation; Farming; Harvesting; Fertilizing
22,مزارع الخضروات,Vegetable Farms,شتلات؛ ري؛ حصاد؛ تعبئة,Seedlings; Irrigation; Harvesting; Packing
23,مزارع الفواكه,Fruit Orchards,تقليم؛ مكافحة؛ حصاد,Pruning; Pest Control; Harvest
24,مزارع النخيل,Date Palm Farms,تلقيح؛ رش؛ حصاد؛ فرز,Pollination; Spraying; Harvest; Sorting
25,مزارع البيوت المحمية,Greenhouse Farms,تكييف؛ ري؛ تحكم بيئي,HVAC; Irrigation; Environmental Control
26,مزارع الزراعة المائية,Hydroponic Farms,محاليل؛ مضخات؛ إضاءة,Nutrient Solutions; Pumps; Lighting
27,مزارع الألبان,Dairy Farms,حلب؛ تغذية؛ صحة؛ تربية,Milking; Feeding; Health; Breeding
28,مزارع الدواجن,Poultry Farms,حضّانات؛ تغذية؛ جمع البيض,Hatchery; Feeding; Egg Collection
29,مزارع اللحوم الحية,Livestock Farms,أعلاف؛ تحصينات؛ وزن,Feed; Vaccination; Weighing
30,مزارع الأغنام والماعز,Sheep & Goat Farms,جز؛ تغذية؛ علاج,Shearing; Feeding; Treatment
31,مزارع الإبل,Camel Farms,سقاية؛ عناية؛ تغذية,Watering; Care; Feeding
32,مزارع الأسماك,Fish Farms,أحواض؛ تغذية؛ فحص؛ حصاد,Tanks; Feeding; Testing; Harvest
33,مزارع الروبيان,Shrimp Farms,مياه؛ غذاء؛ فحص,Water; Feeding; Quality Checks
34,الصيد البحري,Sea Fisheries,صيد؛ موانئ؛ تبريد,Fishing; Docking; Cold Holding
35,الغابات والأخشاب الخام,Forestry & Timber,قطع؛ نقل؛ معالجة أولية,Logging; Transport; Preprocessing
36,مناجم المعادن,Metal Ore Mining,استخراج؛ فرز؛ نقل,Extraction; Sorting; Transport
37,مناجم المواد غير المعدنية,Non-Metal Mining,تفجير؛ قطع؛ شحن,Blasting; Cutting; Loading
38,المحاجر والكسّارات,Quarries & Stone Crushing,تكسير؛ غربلة؛ تحميل,Crushing; Screening; Loading
39,استخراج النفط,Oil Extraction,منصات؛ حفر؛ سلامة,Rigs; Drilling; HSE
40,إنتاج الغاز الطبيعي,Natural Gas Production,ضغط؛ معالجة؛ نقل,Compression; Processing; Transport
41,استخراج الأملاح,Salt Extraction,تبخير؛ حفر؛ جمع,Evaporation; Mining; Collecting
42,آبار المياه الخام,Raw Water Wells,ضخ؛ فلاتر؛ تحليل,Pumping; Filtration; Testing
43,مزارع النحل والعسل,Beekeeping,خلايا؛ تغذية؛ فرز العسل,Hives; Feeding; Honey Extraction
44,مزارع عضوية,Organic Farms,تسميد طبيعي؛ مكافحة طبيعية,Organic Fertilizing; Natural Pest Control
45,شركات مستلزمات زراعية,Agricultural Inputs Trading,أسمدة؛ مبيدات؛ أدوات,Fertilizer; Pesticides; Tools
46,شركات الأسمدة,Fertilizer Manufacturing,خلط؛ تعبئة؛ فحص,Mixing; Packing; QC
47,شركات الأعلاف,Animal Feed Production,طحن؛ خلط؛ تغليف,Grinding; Mixing; Packaging
48,شركات البذور,Seed Production & Trading,تنظيف؛ معالجة؛ تعبئة,Cleaning; Treating; Packing
49,مزارع التمور الصناعية,Industrial Date Farms,حصاد؛ تجفيف؛ فرز,Harvest; Drying; Sorting
50,إعادة تدوير النفايات الزراعية,Agricultural Waste Recycling,جمع؛ فرز؛ تقطيع,Collecting; Sorting; Shredding
51,مصانع الأغذية العامة,General Food Manufacturing,تحضير؛ خلط؛ طبخ؛ تعبئة,Prep; Mixing; Cooking; Packing
52,مصانع الألبان,Dairy Processing Plants,بسترة؛ فرز؛ تعبئة,Pasteurization; Separation; Packing
53,مصانع العصائر,Juice Manufacturing,عصر؛ تصفية؛ تعبئة,Extraction; Filtering; Packing
54,مصانع المخبوزات,Bakery & Bread Factories,عجين؛ تخمير؛ خبز,Dough; Proofing; Baking
55,مصانع اللحوم المصنعة,Processed Meat Plants,فرم؛ تتبيل؛ تغليف,Mincing; Seasoning; Packaging
56,مصانع التجميد الغذائي,Frozen & Packaged Food Plants,تجهيز؛ تجميد؛ تغليف,Prep; Freezing; Packaging
57,مصانع المياه المعبأة,Bottled Water Plants,RO؛ فلترة؛ تعبئة,RO; Filtration; Filling
58,مصانع المشروبات الغازية,Soft Drinks Manufacturing,خلط؛ كربنة؛ تعبئة,Mixing; Carbonation; Filling
59,مصانع زيوت الطعام,Edible Oil Refineries,عصر؛ ترشيح؛ تعبئة,Pressing; Filtering; Bottling
